"Interval start","Client 1","Client 2","TCP","QUIC-Wave","ALL TCP"
351,0,4.99464e+07,0,5.15588e+07,0
352,0,4.999e+07,0,5.16002e+07,0
353,0,4.98382e+07,0,5.17347e+07,0
354,0,4.99896e+07,0,5.16027e+07,0
355,0,4.99969e+07,0,5.16108e+07,0
356,0,5.00207e+07,0,5.16338e+07,0
357,0,4.99741e+07,0,5.15872e+07,0
358,0,5.00109e+07,0,5.18996e+07,0
359,0,5.0034e+07,0,5.16465e+07,0
360,0,4.99566e+07,0,5.15699e+07,0
361,0,5.00898e+07,0,5.1696e+07,0
362,0,4.97001e+07,0,5.13063e+07,0
363,0,4.98324e+07,0,5.14546e+07,0
364,0,5.01184e+07,0,5.2048e+07,0
365,0,5.00667e+07,0,5.168e+07,0
366,0,3.42533e+07,0,3.53645e+07,0
